lead_id,created_date,first_reply_minutes,followup_missed,meeting_set,meeting_show,proposal_sent,won,source,segment
1,2025-08-01,45,0,1,1,1,1,Inbound,Mid-Market
2,2025-08-02,180,1,0,0,0,0,Outbound,SMB
3,2025-08-03,20,0,1,0,0,0,Inbound,Enterprise
4,2025-08-03,60,0,1,1,0,0,Partner,SMB
5,2025-08-04,15,0,1,1,1,0,Inbound,Mid-Market
6,2025-08-05,1440,1,0,0,0,0,Outbound,SMB
7,2025-08-05,30,0,1,1,1,1,Inbound,Enterprise
8,2025-08-06,75,0,1,1,0,0,Partner,Mid-Market
9,2025-08-07,10,0,1,1,1,0,Inbound,SMB
10,2025-08-07,300,1,0,0,0,0,Outbound,Mid-Market
11,2025-08-08,25,0,1,1,1,1,Inbound,Enterprise
12,2025-08-08,90,0,1,0,0,0,Partner,SMB
13,2025-08-09,55,0,1,1,1,0,Inbound,Mid-Market
14,2025-08-09,200,1,0,0,0,0,Outbound,SMB
15,2025-08-10,35,0,1,1,1,1,Inbound,Enterprise
